DATA LOGGER INTERVAL @ 100ms,,,,
TIME(s),y(t)_Output,r(t)_SetPoint,Motor Velocity,u(t)_Input
5.3,-0.015,-2.97,-0.015,-2.97
5.4,-0.044,-2.96,-0.02,-2.96
5.5,-0.073,-2.95,-0.015,-2.95
5.6,-0.015,-2.94,-0.015,-2.94
5.7,-0.005,-2.93,-0.015,-2.93
5.8,-0.01,-2.92,-0.01,-2.92
5.9,-0.015,-2.91,-0.024,-2.91
0.1,-0.01,-3.49,-0.015,-3.49
0.2,-0.024,-3.48,-0.015,-3.48
0.3,-0.015,-3.47,-0.029,-3.47
0.4,-0.015,-3.46,-0.381,-3.46
0.5,-0.02,-3.45,-1.851,-3.45
0.6,-0.01,-3.44,-2.476,-3.44
0.7,-0.01,-3.43,-2.759,-3.43
0.8,-0.054,-3.42,-2.915,-3.42
0.9,-0.015,-3.41,-2.993,-3.41
1,-0.054,-3.4,-2.988,-3.4
1.1,-0.02,-3.39,-2.993,-3.39
1.2,-0.054,-3.38,-2.993,-3.38
1.3,-0.044,-3.37,-2.979,-3.37
1.4,-0.015,-3.36,-2.993,-3.36
1.5,-0.02,-3.35,-2.93,-3.35
1.6,-0.034,-3.34,-2.92,-3.34
1.7,-0.01,-3.33,-2.891,-3.33
1.8,-0.01,-3.32,-2.905,-3.32
1.9,-0.01,-3.31,-2.881,-3.31
2,-0.01,-3.3,-2.866,-3.3
2.1,-0.02,-3.29,-2.861,-3.29
2.2,-0.01,-3.28,-2.837,-3.28
2.3,-0.015,-3.27,-2.876,-3.27
2.4,-0.01,-3.26,-2.871,-3.26
2.5,0.015,-3.25,-2.832,-3.25
2.6,-0.015,-3.24,-2.832,-3.24
2.7,-0.039,-3.23,-2.793,-3.23
2.8,-0.02,-3.22,-2.817,-3.22
2.9,-0.029,-3.21,-2.769,-3.21
3,-0.015,-3.2,-2.744,-3.2
3.1,-0.015,-3.19,-2.749,-3.19
3.2,-0.015,-3.18,-2.734,-3.18
3.3,-0.01,-3.17,-2.734,-3.17
3.4,-0.01,-3.16,-2.676,-3.16
3.5,-0.015,-3.15,-2.695,-3.15
3.6,-0.02,-3.14,-2.681,-3.14
3.7,-0.039,-3.13,-2.642,-3.13
3.8,-0.015,-3.12,-2.661,-3.12
3.9,-0.054,-3.11,-2.646,-3.11
4,-0.01,-3.1,-2.632,-3.1
4.1,-0.015,-3.09,-2.607,-3.09
4.2,-0.015,-3.08,-2.603,-3.08
4.3,-0.02,-3.07,-2.563,-3.07
4.4,-0.015,-3.06,-2.52,-3.06
4.5,-0.01,-3.05,-2.549,-3.05
4.6,-0.024,-3.04,-2.51,-3.04
4.7,-0.01,-3.03,-2.515,-3.03
4.8,-0.034,-3.02,-2.48,-3.02
4.9,-0.015,-3.01,-2.471,-3.01
5,-0.015,-3,-2.48,-3
5.1,-0.029,-2.99,-2.412,-2.99
5.2,-0.01,-2.98,-2.446,-2.98
5.3,-0.005,-2.97,-2.451,-2.97
5.4,-0.015,-2.96,-2.378,-2.96
5.5,-0.015,-2.95,-2.383,-2.95
5.6,-0.015,-2.94,-2.397,-2.94
5.7,-0.039,-2.93,-2.334,-2.93
5.8,-0.015,-2.92,-2.358,-2.92
5.9,-0.024,-2.91,-2.344,-2.91
6,-0.024,-2.9,-2.319,-2.9
6.1,-0.01,-2.89,-2.3,-2.89
6.2,-0.01,-2.88,-2.266,-2.88
6.3,-0.02,-2.87,-2.256,-2.87
6.4,-0.01,-2.86,-2.241,-2.86
6.5,-0.015,-2.85,-2.231,-2.85
6.6,-0.01,-2.84,-2.202,-2.84
6.7,-0.02,-2.83,-2.202,-2.83
6.8,-0.005,-2.82,-2.178,-2.82
6.9,-0.005,-2.81,-2.168,-2.81
7,-0.01,-2.8,-2.173,-2.8
7.1,-0.01,-2.79,-2.129,-2.79
7.2,-0.01,-2.78,-2.085,-2.78
7.3,-0.015,-2.77,-2.095,-2.77
7.4,-0.049,-2.76,-2.08,-2.76
7.5,-0.015,-2.75,-2.1,-2.75
7.6,-0.02,-2.74,-2.075,-2.74
7.7,-0.024,-2.73,-2.061,-2.73
7.8,-0.005,-2.72,-2.061,-2.72
7.9,-0.015,-2.71,-2.007,-2.71
8,-0.015,-2.7,-1.997,-2.7
8.1,-0.015,-2.69,-2.031,-2.69
8.2,-0.02,-2.68,-1.953,-2.68
8.3,-0.073,-2.67,-1.938,-2.67
8.4,-0.015,-2.66,-1.948,-2.66
8.5,-0.039,-2.65,-1.929,-2.65
8.6,-0.015,-2.64,-1.909,-2.64
8.7,-0.01,-2.63,-1.914,-2.63
8.8,0,-2.62,-1.855,-2.62
8.9,-0.01,-2.61,-1.914,-2.61
9,-0.039,-2.6,-1.821,-2.6
9.1,-0.015,-2.59,-1.875,-2.59
9.2,-0.02,-2.58,-1.836,-2.58
9.3,-0.005,-2.57,-1.792,-2.57
9.4,-0.015,-2.56,-1.763,-2.56
9.5,-0.02,-2.55,-1.763,-2.55
9.6,-0.015,-2.54,-1.709,-2.54
9.7,-0.02,-2.53,-1.733,-2.53
9.8,-0.02,-2.52,-1.729,-2.52
9.9,-0.029,-2.51,-1.694,-2.51
10,-0.02,-2.5,-1.689,-2.5
10.1,-0.015,-2.49,-1.655,-2.49
10.2,-0.015,-2.48,-1.636,-2.48
10.3,-0.049,-2.47,-1.597,-2.47
10.4,-0.02,-2.46,-1.626,-2.46
10.5,-0.01,-2.45,-1.606,-2.45
10.6,-0.015,-2.44,-1.587,-2.44
10.7,0.039,-2.43,-1.567,-2.43
10.8,-0.02,-2.42,-1.543,-2.42
10.9,-0.02,-2.41,-1.519,-2.41
11,-0.01,-2.4,-1.504,-2.4
11.1,-0.01,-2.39,-1.489,-2.39
11.2,-0.01,-2.38,-1.47,-2.38
11.3,-0.034,-2.37,-1.445,-2.37
11.4,-0.015,-2.36,-1.431,-2.36
11.5,-0.005,-2.35,-1.411,-2.35
11.6,-0.015,-2.34,-1.382,-2.34
11.7,-0.01,-2.33,-1.382,-2.33
11.8,-0.015,-2.32,-1.377,-2.32
11.9,-0.015,-2.31,-1.343,-2.31
12,-0.044,-2.3,-1.338,-2.3
12.1,-0.015,-2.29,-1.294,-2.29
12.2,-0.015,-2.28,-1.26,-2.28
12.3,-0.015,-2.27,-1.274,-2.27
12.4,-0.01,-2.26,-1.255,-2.26
12.5,-0.005,-2.25,-1.221,-2.25
12.6,-0.015,-2.24,-1.211,-2.24
12.7,-0.015,-2.23,-1.25,-2.23
12.8,-0.01,-2.22,-1.177,-2.22
12.9,0.01,-2.21,-1.187,-2.21
13,-0.02,-2.2,-1.177,-2.2
13.1,-0.02,-2.19,-1.167,-2.19
13.2,-0.015,-2.18,-1.162,-2.18
13.3,0,-2.17,-1.104,-2.17
13.4,-0.015,-2.16,-1.108,-2.16
13.5,-0.015,-2.15,-1.089,-2.15
13.6,-0.02,-2.14,-1.05,-2.14
13.7,-0.005,-2.13,-1.04,-2.13
13.8,-0.02,-2.12,-1.025,-2.12
13.9,-0.02,-2.11,-0.996,-2.11
14,-0.01,-2.1,-0.977,-2.1
14.1,-0.015,-2.09,-0.972,-2.09
14.2,-0.02,-2.08,-0.947,-2.08
14.3,0,-2.07,-0.913,-2.07
14.4,-0.073,-2.06,-0.908,-2.06
14.5,-0.015,-2.05,-0.903,-2.05
14.6,-0.015,-2.04,-0.869,-2.04
14.7,-0.005,-2.03,-0.85,-2.03
14.8,0,-2.02,-0.82,-2.02
14.9,-0.01,-2.01,-0.776,-2.01
15,-0.02,-2,-0.791,-2
15.1,-0.015,-1.99,-0.786,-1.99
15.2,-0.005,-1.98,-0.771,-1.98
15.3,-0.059,-1.97,-0.728,-1.97
15.4,-0.02,-1.96,-0.723,-1.96
15.5,-0.044,-1.95,-0.703,-1.95
15.6,-0.015,-1.94,-0.684,-1.94
15.7,-0.01,-1.93,-0.63,-1.93
15.8,-0.005,-1.92,-0.635,-1.92
15.9,-0.015,-1.91,-0.62,-1.91
16,-0.01,-1.9,-0.586,-1.9
16.1,-0.01,-1.89,-0.576,-1.89
16.2,-0.015,-1.88,-0.557,-1.88
16.3,-0.02,-1.87,-0.532,-1.87
16.4,-0.02,-1.86,-0.503,-1.86
16.5,-0.015,-1.85,-0.532,-1.85
16.6,-0.029,-1.84,-0.493,-1.84
16.7,-0.01,-1.83,-0.454,-1.83
16.8,-0.015,-1.82,-0.425,-1.82
16.9,-0.005,-1.81,-0.425,-1.81
17,-0.01,-1.8,-0.386,-1.8
17.1,-0.015,-1.79,-0.366,-1.79
17.2,-0.015,-1.78,-0.332,-1.78
17.3,-0.01,-1.77,-0.337,-1.77
17.4,-0.015,-1.76,-0.342,-1.76
17.5,-0.005,-1.75,-0.293,-1.75
17.6,-0.01,-1.74,-0.332,-1.74
17.7,-0.01,-1.73,-0.234,-1.73
17.8,-0.01,-1.72,-0.283,-1.72
17.9,-0.02,-1.71,-0.239,-1.71
18,-0.015,-1.7,-0.225,-1.7
